"月份","能源类型","用量","单位","组织","地点","部门","设备","备注"
"2025-10","电力","67","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0058","多记录删除子查询路径验证"
"2025-11","电力","68","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0059","多记录删除子查询路径验证"
"2025-12","电力","69","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0060","多记录删除子查询路径验证"
"2025-01","电力","70","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0061","多记录删除子查询路径验证"
"2025-02","电力","71","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0062","多记录删除子查询路径验证"
"2025-03","电力","72","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0063","多记录删除子查询路径验证"
"2025-04","电力","73","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0064","多记录删除子查询路径验证"
"2025-05","电力","74","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0065","多记录删除子查询路径验证"
"2025-06","电力","75","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0066","多记录删除子查询路径验证"
"2025-07","电力","76","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0067","多记录删除子查询路径验证"
"2025-08","电力","77","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0068","多记录删除子查询路径验证"
"2025-09","电力","78","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0069","多记录删除子查询路径验证"
"2025-10","电力","79","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0070","多记录删除子查询路径验证"
"2025-11","电力","80","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0071","多记录删除子查询路径验证"
"2025-12","电力","81","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0072","多记录删除子查询路径验证"
"2025-01","电力","82","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0073","多记录删除子查询路径验证"
"2025-02","电力","83","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0074","多记录删除子查询路径验证"
"2025-03","电力","84","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0075","多记录删除子查询路径验证"
"2025-04","电力","85","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0076","多记录删除子查询路径验证"
"2025-05","电力","86","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0077","多记录删除子查询路径验证"
"2025-06","电力","87","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0078","多记录删除子查询路径验证"
"2025-07","电力","88","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0079","多记录删除子查询路径验证"
"2025-08","电力","89","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0080","多记录删除子查询路径验证"
"2025-09","电力","90","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0081","多记录删除子查询路径验证"
"2025-10","电力","91","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0082","多记录删除子查询路径验证"
"2025-11","电力","92","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0083","多记录删除子查询路径验证"
"2025-12","电力","93","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0084","多记录删除子查询路径验证"
"2025-01","电力","94","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0085","多记录删除子查询路径验证"
"2025-02","电力","95","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0086","多记录删除子查询路径验证"
"2025-03","电力","96","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0087","多记录删除子查询路径验证"
"2025-04","电力","97","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0088","多记录删除子查询路径验证"
"2025-05","电力","98","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0089","多记录删除子查询路径验证"
"2025-06","电力","99","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0090","多记录删除子查询路径验证"
"2025-07","电力","100","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0091","多记录删除子查询路径验证"
"2025-08","电力","101","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0092","多记录删除子查询路径验证"
"2025-09","电力","102","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0093","多记录删除子查询路径验证"
"2025-10","电力","103","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0094","多记录删除子查询路径验证"
"2025-11","电力","104","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0095","多记录删除子查询路径验证"
"2025-12","电力","105","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0096","多记录删除子查询路径验证"
"2025-01","电力","106","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0097","多记录删除子查询路径验证"
"2025-02","电力","107","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0098","多记录删除子查询路径验证"
"2025-03","电力","108","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0099","多记录删除子查询路径验证"
"2025-04","电力","109","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0100","多记录删除子查询路径验证"
"2025-05","电力","110","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0101","多记录删除子查询路径验证"
"2025-06","电力","111","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0102","多记录删除子查询路径验证"
"2025-07","电力","112","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0103","多记录删除子查询路径验证"
"2025-08","电力","113","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0104","多记录删除子查询路径验证"
"2025-09","电力","114","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0105","多记录删除子查询路径验证"
"2025-10","电力","115","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0106","多记录删除子查询路径验证"
"2025-11","电力","116","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0107","多记录删除子查询路径验证"
"2025-12","电力","117","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0108","多记录删除子查询路径验证"
"2025-01","电力","118","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0109","多记录删除子查询路径验证"
"2025-02","电力","119","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0110","多记录删除子查询路径验证"
"2025-03","电力","120","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0111","多记录删除子查询路径验证"
"2025-04","电力","121","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0112","多记录删除子查询路径验证"
"2025-05","电力","122","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0113","多记录删除子查询路径验证"
"2025-06","电力","123","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0114","多记录删除子查询路径验证"
"2025-07","电力","124","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0115","多记录删除子查询路径验证"
"2025-08","电力","125","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0116","多记录删除子查询路径验证"
"2025-09","电力","126","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0117","多记录删除子查询路径验证"
"2025-10","电力","127","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0118","多记录删除子查询路径验证"
"2025-11","电力","128","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0119","多记录删除子查询路径验证"
"2025-12","电力","129","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0120","多记录删除子查询路径验证"
"2025-01","电力","130","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0121","多记录删除子查询路径验证"
"2025-02","电力","131","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0122","多记录删除子查询路径验证"
"2025-03","电力","132","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0123","多记录删除子查询路径验证"
"2025-04","电力","133","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0124","多记录删除子查询路径验证"
"2025-05","电力","134","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0125","多记录删除子查询路径验证"
"2025-06","电力","135","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0126","多记录删除子查询路径验证"
"2025-07","电力","136","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0127","多记录删除子查询路径验证"
"2025-08","电力","137","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0128","多记录删除子查询路径验证"
"2025-09","电力","138","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0129","多记录删除子查询路径验证"
"2025-10","电力","139","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0130","多记录删除子查询路径验证"
"2025-11","电力","140","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0131","多记录删除子查询路径验证"
"2025-12","电力","141","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0132","多记录删除子查询路径验证"
"2025-01","电力","142","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0133","多记录删除子查询路径验证"
"2025-02","电力","143","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0134","多记录删除子查询路径验证"
"2025-03","电力","144","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0135","多记录删除子查询路径验证"
"2025-04","电力","145","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0136","多记录删除子查询路径验证"
"2025-05","电力","146","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0137","多记录删除子查询路径验证"
"2025-06","电力","147","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0138","多记录删除子查询路径验证"
"2025-07","电力","148","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0139","多记录删除子查询路径验证"
"2025-08","电力","149","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0140","多记录删除子查询路径验证"
"2025-09","电力","150","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0141","多记录删除子查询路径验证"
"2025-10","电力","151","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0142","多记录删除子查询路径验证"
"2025-11","电力","152","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0143","多记录删除子查询路径验证"
"2025-12","电力","153","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0144","多记录删除子查询路径验证"
"2025-01","电力","154","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0145","多记录删除子查询路径验证"
"2025-02","电力","155","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0146","多记录删除子查询路径验证"
"2025-03","电力","156","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0147","多记录删除子查询路径验证"
"2025-04","电力","157","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0148","多记录删除子查询路径验证"
"2025-05","电力","158","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0149","多记录删除子查询路径验证"
"2025-06","电力","159","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0150","多记录删除子查询路径验证"
"2025-07","电力","160","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0151","多记录删除子查询路径验证"
"2025-08","电力","161","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0152","多记录删除子查询路径验证"
"2025-09","电力","162","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0153","多记录删除子查询路径验证"
"2025-10","电力","163","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0154","多记录删除子查询路径验证"
"2025-11","电力","164","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0155","多记录删除子查询路径验证"
"2025-12","电力","165","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0156","多记录删除子查询路径验证"
"2025-01","电力","166","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0157","多记录删除子查询路径验证"
"2025-02","电力","167","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0158","多记录删除子查询路径验证"
"2025-03","电力","168","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0159","多记录删除子查询路径验证"
"2025-04","电力","169","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0160","多记录删除子查询路径验证"
"2025-05","电力","170","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0161","多记录删除子查询路径验证"
"2025-06","电力","171","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0162","多记录删除子查询路径验证"
"2025-07","电力","172","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0163","多记录删除子查询路径验证"
"2025-08","电力","173","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0164","多记录删除子查询路径验证"
"2025-09","电力","174","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0165","多记录删除子查询路径验证"
"2025-10","电力","175","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0166","多记录删除子查询路径验证"
"2025-11","电力","176","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0167","多记录删除子查询路径验证"
"2025-12","电力","177","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0168","多记录删除子查询路径验证"
"2025-01","电力","178","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0169","多记录删除子查询路径验证"
"2025-02","电力","179","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0170","多记录删除子查询路径验证"
"2025-03","电力","180","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0171","多记录删除子查询路径验证"
"2025-04","电力","181","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0172","多记录删除子查询路径验证"
"2025-05","电力","182","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0173","多记录删除子查询路径验证"
"2025-06","电力","183","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0174","多记录删除子查询路径验证"
"2025-07","电力","184","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0175","多记录删除子查询路径验证"
"2025-08","电力","185","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0176","多记录删除子查询路径验证"
"2025-09","电力","186","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0177","多记录删除子查询路径验证"
"2025-10","电力","187","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0178","多记录删除子查询路径验证"
"2025-11","电力","188","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0179","多记录删除子查询路径验证"
"2025-12","电力","189","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0180","多记录删除子查询路径验证"
"2025-01","电力","190","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0181","多记录删除子查询路径验证"
"2025-02","电力","191","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0182","多记录删除子查询路径验证"
"2025-03","电力","192","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0183","多记录删除子查询路径验证"
"2025-04","电力","193","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0184","多记录删除子查询路径验证"
"2025-05","电力","194","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0185","多记录删除子查询路径验证"
"2025-06","电力","195","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0186","多记录删除子查询路径验证"
"2025-07","电力","196","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0187","多记录删除子查询路径验证"
"2025-08","电力","197","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0188","多记录删除子查询路径验证"
"2025-09","电力","198","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0189","多记录删除子查询路径验证"
"2025-10","电力","199","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0190","多记录删除子查询路径验证"
"2025-11","电力","200","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0191","多记录删除子查询路径验证"
"2025-12","电力","201","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0192","多记录删除子查询路径验证"
"2025-01","电力","202","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0193","多记录删除子查询路径验证"
"2025-02","电力","203","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0194","多记录删除子查询路径验证"
"2025-03","电力","204","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0195","多记录删除子查询路径验证"
"2025-04","电力","205","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0196","多记录删除子查询路径验证"
"2025-05","电力","206","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0197","多记录删除子查询路径验证"
"2025-06","电力","207","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0198","多记录删除子查询路径验证"
"2025-07","电力","208","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0199","多记录删除子查询路径验证"
"2025-08","电力","209","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0200","多记录删除子查询路径验证"
"2025-09","电力","210","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0201","多记录删除子查询路径验证"
"2025-10","电力","211","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0202","多记录删除子查询路径验证"
"2025-11","电力","212","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0203","多记录删除子查询路径验证"
"2025-12","电力","213","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0204","多记录删除子查询路径验证"
"2025-01","电力","214","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0205","多记录删除子查询路径验证"
"2025-02","电力","215","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0206","多记录删除子查询路径验证"
"2025-03","电力","216","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0207","多记录删除子查询路径验证"
"2025-04","电力","217","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0208","多记录删除子查询路径验证"
"2025-05","电力","218","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0209","多记录删除子查询路径验证"
"2025-06","电力","219","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0210","多记录删除子查询路径验证"
"2025-07","电力","220","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0211","多记录删除子查询路径验证"
"2025-08","电力","221","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0212","多记录删除子查询路径验证"
"2025-09","电力","222","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0213","多记录删除子查询路径验证"
"2025-10","电力","223","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0214","多记录删除子查询路径验证"
"2025-11","电力","224","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0215","多记录删除子查询路径验证"
"2025-12","电力","225","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0216","多记录删除子查询路径验证"
"2025-01","电力","226","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0217","多记录删除子查询路径验证"
"2025-02","电力","227","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0218","多记录删除子查询路径验证"
"2025-03","电力","228","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0219","多记录删除子查询路径验证"
"2025-04","电力","229","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0220","多记录删除子查询路径验证"
"2025-05","电力","230","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0221","多记录删除子查询路径验证"
"2025-06","电力","231","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0222","多记录删除子查询路径验证"
"2025-07","电力","232","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0223","多记录删除子查询路径验证"
"2025-08","电力","233","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0224","多记录删除子查询路径验证"
"2025-09","电力","234","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0225","多记录删除子查询路径验证"
"2025-10","电力","235","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0226","多记录删除子查询路径验证"
"2025-11","电力","236","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0227","多记录删除子查询路径验证"
"2025-12","电力","237","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0228","多记录删除子查询路径验证"
"2025-01","电力","238","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0229","多记录删除子查询路径验证"
"2025-02","电力","239","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0230","多记录删除子查询路径验证"
"2025-03","电力","240","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0231","多记录删除子查询路径验证"
"2025-04","电力","241","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0232","多记录删除子查询路径验证"
"2025-05","电力","242","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0233","多记录删除子查询路径验证"
"2025-06","电力","243","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0234","多记录删除子查询路径验证"
"2025-07","电力","244","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0235","多记录删除子查询路径验证"
"2025-08","电力","245","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0236","多记录删除子查询路径验证"
"2025-09","电力","246","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0237","多记录删除子查询路径验证"
"2025-10","电力","247","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0238","多记录删除子查询路径验证"
"2025-11","电力","248","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0239","多记录删除子查询路径验证"
"2025-12","电力","249","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0240","多记录删除子查询路径验证"
"2025-01","电力","250","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0241","多记录删除子查询路径验证"
"2025-02","电力","251","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0242","多记录删除子查询路径验证"
"2025-03","电力","252","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0243","多记录删除子查询路径验证"
"2025-04","电力","253","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0244","多记录删除子查询路径验证"
